School,Make Tournament,Conference Champ,Last 12 Wins,Conference Finish,RPI Rank,NET Rank,Conference,Record,Wins,Losses,Adj. Offensive Efficiency,OE Rank,Adj. Defensive Efficiency,DE Rank,Barthag,T-Rank,Conference Record,SOS,Non-Conf SOS,Conference SOS,Conference Win %,Wins Above Bubble,WAB Rank,Efficiency Avg,Season
Sacred Heart,0,0,5,8,305,NA,NEC,13-19,13,19,96.97158362569323,291,108.70811648575008,269,0.21184206360692537,298,8-10,0.3154717040304912,0.40248057121611946,0.24418133917362075,0.4444444444444444,-15.185658607131721,298,280,2017
Saint Francis (PA),0,0,8,3,258,NA,NEC,15-16,15,16,101.78941932544984,207,109.3127899090531,282,0.30575659470367045,248,11-7,0.31391890106419235,0.46014420454082766,0.23382716444168647,0.6111111111111112,-11.912686903250373,242,244.5,2017
Saint Joseph's,0,0,2,12,201,NA,A10,11-20,11,20,101.6973579444014,212,102.38620051329707,150,0.4806017114617961,172,4-14,0.606039169840747,0.6047711333940621,0.6124550999744618,0.2222222222222222,-11.008647273949931,223,181,2017
Saint Louis,0,0,6,11,239,NA,A10,12-21,12,21,95.76096897077306,310,103.28635641250497,167,0.2952592404545173,254,6-12,0.5517416557465759,0.4579729943448601,0.6260725807500362,0.3333333333333333,-12.871882740089626,258,238.5,2017
Saint Mary's (CA),1,0,11,2,16,NA,WCC,28-4,28,4,118.25707446456644,15,93.40007763256432,24,0.937826713893736,13,16-2,0.5128991067639741,0.46435289149872055,0.5181005439435349,0.8888888888888888,3.784403932103749,26,19.5,2017
Saint Peter's,0,0,8,2,133,NA,MAAC,19-13,19,13,102.42939537903098,193,97.05684776778165,58,0.6501239294188117,104,14-6,0.4092934694701313,0.4532653297698121,0.3783715844348271,0.7,-7.713241226538378,162,125.5,2017
Sam Houston State,0,0,6,5,195,NA,Slnd,17-13,17,13,96.23223534798572,307,102.65862691919371,157,0.3222578012814712,236,10-8,0.3589781266547029,0.5213876173250463,0.2826250182181951,0.5555555555555556,-8.61971811537044,179,232,2017
Samford,0,0,4,7,168,NA,SC,17-15,17,15,107.78114993507421,95,105.89114923451802,217,0.5506872267048986,141,8-10,0.46916442114887574,0.429065534015008,0.4826592321087624,0.4444444444444444,-8.3344073362965,173,156,2017
San Diego,0,0,4,7,204,NA,WCC,12-18,12,18,98.48340777282029,266,107.0422285694992,235,0.27720741001561416,264,6-12,0.5155249852642407,0.41577422124139224,0.5906996516729215,0.3333333333333333,-10.073692002719062,204,250.5,2017
San Diego State,0,0,6,6,101,NA,MWC,18-14,18,14,103.31305897294939,173,93.41762548901664,25,0.760944214432557,72,9-9,0.5436490649041187,0.49539420132612494,0.5632318311089906,0.5,-6.1247431619801596,131,99,2017
San Francisco,0,0,8,4,94,NA,WCC,19-12,19,12,102.56023044675888,190,94.64176074730787,36,0.715864828913843,83,10-8,0.49727749268678484,0.4173258007809329,0.54296773874953,0.5555555555555556,-4.4825365572125815,99,113,2017
San Jose State,0,0,5,8,194,NA,MWC,12-16,12,16,99.62565550412424,246,104.07770624316035,181,0.37689276994884463,214,7-11,0.5509056926354883,0.4352886476906901,0.6084900711035416,0.3888888888888889,-9.065082955412072,187,213.5,2017
Santa Clara,0,0,6,4,129,NA,WCC,16-16,16,16,105.7905209940194,121,100.8448495254863,108,0.6342733664223,109,10-8,0.5354202791283007,0.45908207852786687,0.5518872177903623,0.5555555555555556,-6.9546479039877385,147,114.5,2017
Savannah State,0,0,8,5,279,NA,MEAC,11-16,11,16,98.7896001758519,257,113.4997341709703,328,0.1685002442922586,315,10-6,0.3403484149707772,0.6047596804174385,0.15856566997619773,0.625,-11.041372680111271,225,292.5,2017
Seattle,0,0,5,6,276,NA,WAC,10-17,10,17,95.24992610368186,315,103.64736577995924,174,0.274554306436654,266,5-9,0.41613908312643233,0.4120482852154097,0.4174513438587621,0.35714285714285715,-11.777994496184998,237,244.5,2017
Seton Hall,1,0,8,3,45,NA,BE,21-11,21,11,109.20324306375497,69,95.42092272687205,44,0.8251300199338452,53,10-8,0.6988798932678125,0.4919607120225704,0.8110983839934492,0.5555555555555556,2.5432391960541474,33,56.5,2017
Siena,0,0,7,3,118,NA,MAAC,17-17,17,17,104.86663354221682,149,106.22957351308673,223,0.46294275817298397,182,12-8,0.46709665883276785,0.594623471350562,0.396646902196397,0.6,-10.253730533096086,207,186,2017
SIU Edwardsville,0,0,1,6,334,NA,OVC,5-23,5,23,94.0694835021041,328,108.58092770458276,266,0.16113410504647152,320,1-15,0.42577715642482794,0.49787222256903557,0.3717058568166724,0.0625,-19.109701419629594,339,297,2017
South Alabama,0,0,5,9,230,NA,SB,12-18,12,18,98.15723184782203,270,104.76895834888404,196,0.32089763668767574,238,7-11,0.45779007850972,0.37812084165414533,0.5095015415280603,0.3888888888888889,-12.970554929726807,260,233,2017
South Carolina,1,0,7,3,44,NA,SEC,21-10,21,10,105.40056592357496,138,88.5420812723141,4,0.8812515607475494,33,12-6,0.7010321580339324,0.5773899906708106,0.7765609086093526,0.6666666666666666,1.5585083427651019,38,71,2017
South Carolina State,0,0,5,7,302,NA,MEAC,9-20,9,20,98.04971258222099,271,118.70995893935029,347,0.09984943575018755,338,7-9,0.3910713138302809,0.7747915178191866,0.15905839572992,0.4375,-13.131912688570797,264,309,2017
South Carolina Upstate,0,0,6,4,229,NA,ASun,13-15,13,15,103.11455679419979,177,111.46790874335221,308,0.289913152391201,256,7-7,0.39198771280229894,0.46458521693804844,0.33560178736019103,0.5,-10.517996777295865,211,242.5,2017
South Dakota,0,0,9,1,122,NA,Sum,20-11,20,11,101.96711125236172,201,102.28658924640061,145,0.4910072529121668,166,12-4,0.4278882923968139,0.4668055628808481,0.408355324530634,0.75,-5.8132643149081265,121,173,2017
South Dakota State,1,1,7,4,155,NA,Sum,16-16,16,16,109.19024509925218,70,111.30148514267032,305,0.4451627108798734,191,8-8,0.46993679417114326,0.5424096505493661,0.41394190033679396,0.5,-9.879250366754158,201,187.5,2017
South Florida,0,0,1,11,316,NA,Amer,7-23,7,23,96.53474185084687,300,106.5197384377025,227,0.24380797068656487,280,1-17,0.5636038621475816,0.3766637371555174,0.6666894559066702,0.05555555555555555,-14.80513595901584,294,263.5,2017
Southeast Missouri State,0,0,7,2,274,NA,OVC,13-18,13,18,101.86215698061812,205,108.8522303511649,273,0.3179380417513516,242,9-7,0.398688270472214,0.4374609284358659,0.354501004479931,0.5625,-13.087419423991387,263,239,2017
Southeastern Louisiana,0,0,5,7,250,NA,Slnd,14-16,14,16,96.25756912329612,305,103.00008293826053,163,0.3146270645449659,246,9-9,0.34148498445728925,0.42686245595588496,0.28822808140556394,0.5,-11.922026123979427,243,234,2017
Southern,0,0,6,3,319,NA,SWAC,13-17,13,17,96.58853926263713,299,114.9867869585227,336,0.1186677589113585,332,10-8,0.26226909400227244,0.5171723846600194,0.13203073439285296,0.5555555555555556,-14.494402288597518,284,317.5,2017
Southern California,1,0,7,5,43,NA,P12,24-9,24,9,111.33607006716522,53,99.84567484473342,95,0.7777611461285586,69,10-8,0.5973893872068045,0.4659407534959764,0.6799437960284963,0.5555555555555556,1.1728548360128876,44,74,2017
Southern Illinois,0,0,5,3,144,NA,MVC,16-16,16,16,102.32020729339652,195,103.09888762162498,164,0.47821721861086103,174,9-9,0.5445133202969199,0.45357353992076305,0.580923342639379,0.5,-7.314397625808016,153,179.5,2017
Southern Methodist,1,1,12,1,17,NA,Amer,29-4,29,4,119.7609173658949,12,94.28393948777679,32,0.939949777188432,12,17-1,0.591676701633348,0.5290276749320159,0.6327415894952341,0.9444444444444444,5.573791680749305,18,22,2017
Southern Mississippi,0,0,3,11,331,NA,CUSA,7-22,7,22,92.36952729844322,333,108.9626426365173,275,0.13012074743561855,328,6-12,0.4326798490897762,0.4389645531306769,0.42743678626052506,0.3333333333333333,-16.763678878580684,316,304,2017
Southern Utah,0,0,1,11,341,NA,BSky,4-27,4,27,100.20715748412866,234,118.73067267305157,348,0.12448711697023711,330,3-15,0.3767278847693487,0.45457581894389,0.32735751023942233,0.16666666666666666,-22.95983006253308,349,291,2017
St. Bonaventure,0,0,7,5,92,NA,A10,20-12,20,12,107.18307935553177,106,100.28003431553952,102,0.6825629999624913,90,11-7,0.5213898884056851,0.413732384334,0.5759280773392128,0.6111111111111112,-4.646355817944551,100,104,2017
St. Francis (NY),0,0,0,10,348,NA,NEC,3-27,3,27,86.53036022015931,350,111.84938437115125,311,0.04966258641831645,347,2-16,0.3442546017738882,0.46687894773856814,0.2625050377974351,0.1111111111111111,-22.5910135754212,348,330.5,2017
St. John's (NY),0,0,5,8,124,NA,BE,14-19,14,19,108.6921486577179,79,101.91358087198583,137,0.6771128510635696,94,7-11,0.6958455344697423,0.48566558473582366,0.8274475888895653,0.3888888888888889,-5.2300928010115495,109,108,2017
Stanford,0,0,4,9,100,NA,P12,13-17,13,17,103.74779138176947,164,97.84600036254098,65,0.6622937181800544,99,6-12,0.681896110749338,0.6466017602091987,0.7080067740238448,0.3333333333333333,-5.325916722557608,111,114.5,2017
Stephen F. Austin,0,0,8,2,202,NA,Slnd,15-14,15,14,95.4598578003222,312,101.74992123010742,130,0.32435249527757926,235,12-6,0.3674726964137881,0.5194609763046159,0.28961306630521944,0.6666666666666666,-9.53013148805567,196,221,2017
Stetson,0,0,4,7,327,NA,ASun,8-21,8,21,99.37254596111669,252,114.5487238096797,334,0.16322433281031853,318,3-11,0.38584091121615327,0.3967176783150393,0.35365518217210995,0.21428571428571427,-16.36684817103228,312,293,2017
Stony Brook,0,0,8,2,175,NA,AE,18-13,18,13,100.60553119518096,227,104.8588877004158,197,0.3831509664148677,212,12-4,0.3852161634990126,0.4343070293631927,0.3544319944681468,0.75,-8.393344759924211,176,212,2017
Syracuse,0,0,7,7,84,NA,ACC,18-14,18,14,116.7539191046126,22,99.8921371126307,96,0.8573853374990278,38,10-8,0.6940915132007379,0.4816730015082713,0.8361207199150313,0.5555555555555556,-1.1835408272052454,63,59,2017
Temple,0,0,6,8,132,NA,Amer,16-16,16,16,108.05934389953632,89,102.53613368758614,153,0.646422566928181,107,7-11,0.5975611002378145,0.5427540440278719,0.6439463267981436,0.3888888888888889,-5.921147258038439,127,121,2017
Tennessee,0,0,6,9,83,NA,SEC,15-16,15,16,109.77812893244845,63,96.25066548586062,49,0.8194036614907116,55,8-10,0.7267970853184026,0.6294418412736152,0.7867081296503982,0.4444444444444444,-2.3280005624648528,79,56,2017
Tennessee-Martin,0,0,9,1,164,NA,OVC,19-12,19,12,105.52082801068262,131,110.44976514298875,298,0.37168307515772303,216,10-6,0.39379877834186244,0.4468867257556625,0.3455263101993188,0.625,-6.743440966638926,141,214.5,2017
Tennessee State,0,0,5,4,160,NA,OVC,15-13,15,13,99.52650395020603,247,99.03034014168233,83,0.5143644646579915,156,8-8,0.44259198292455126,0.5569029513341776,0.37179406346615956,0.5,-7.2312604313765005,150,165,2017
Tennessee Tech,0,0,5,4,278,NA,OVC,10-20,10,20,97.46984244716566,279,107.08937593110656,236,0.25305425133781845,274,8-8,0.42532846884504705,0.452890226461277,0.4055269480877306,0.5,-14.654687229811156,288,257.5,2017
Texas,0,0,3,10,154,NA,B12,11-22,11,22,103.45461676616219,166,93.55373044028869,26,0.7607629086246617,73,4-14,0.765625879600853,0.582065595403973,0.8846487064900214,0.2222222222222222,-5.855694279982011,124,96,2017
Texas-Arlington,0,0,10,1,37,NA,SB,23-8,23,8,107.71199876554934,96,99.91076868954022,97,0.7036229970381792,85,14-4,0.49853052730562564,0.5969176132523006,0.4418613655550261,0.7777777777777778,-1.15868255336764,62,96.5,2017
Texas-El Paso,0,0,9,3,224,NA,CUSA,14-17,14,17,99.71698370512277,245,101.8293286211483,134,0.44002397569509183,192,12-6,0.4350988413437075,0.47595985925012985,0.3866884828557853,0.6666666666666666,-11.673127811017519,235,189.5,2017
Texas-Rio Grande Valley,0,0,1,7,317,NA,WAC,7-22,7,22,99.07680221608592,254,112.40914934580593,317,0.18971316112294812,309,2-12,0.42376470360749274,0.4229420367711193,0.42952732963113105,0.14285714285714285,-16.575198658087654,315,285.5,2017
Texas-San Antonio,0,0,4,9,264,NA,CUSA,12-19,12,19,94.19571524934913,327,102.28775755639617,146,0.27933231872378844,261,8-10,0.43655579410259443,0.4610729774474395,0.40420493068122393,0.4444444444444444,-13.421937906202611,270,236.5,2017
Texas A&M,0,0,6,9,93,NA,SEC,16-15,16,15,108.06326877417851,88,95.81246901123964,46,0.7995888273568668,60,8-10,0.6605199505418854,0.4892024371043722,0.7618532815523031,0.4444444444444444,-2.970542793455416,85,67,2017
Texas A&M-Corpus Christi,0,0,10,2,147,NA,Slnd,17-11,17,11,101.9465951152257,202,105.31686851095807,204,0.407567162857681,203,12-6,0.3608214825095214,0.5335229077205195,0.2808638013533822,0.6666666666666666,-6.554148193302228,139,203,2017
Texas Christian,0,0,3,7,67,NA,B12,18-15,18,15,112.26442722660934,44,98.09593894703752,70,0.8251270103706557,54,6-12,0.7325398852600439,0.476491304075694,0.8774929894764502,0.3333333333333333,0.07939209092846872,52,57,2017
Texas Southern,1,1,10,1,115,NA,SWAC,23-11,23,11,100.51438773926631,229,106.20072212672666,221,0.3468656456648794,227,16-2,0.3282448336506501,0.6855276129737841,0.10674004093253725,0.8888888888888888,-4.4752312013010105,98,225,2017
Texas State,0,0,8,3,192,NA,SB,18-12,18,12,102.86172896403836,182,101.73930054957142,128,0.5315026711162528,149,11-7,0.4127265290587678,0.3085272587452814,0.4605917333387323,0.6111111111111112,-7.569950172320876,160,155,2017
Texas Tech,0,0,4,7,125,NA,B12,18-14,18,14,111.50812710038221,51,97.23886452755352,60,0.8284469924169066,50,6-12,0.6460461392448004,0.3172712074892061,0.8771215472137871,0.3333333333333333,-1.247502963316826,65,55.5,2017
Toledo,0,0,6,3,156,NA,MAC,16-16,16,16,108.30458287477333,83,104.56120581468377,190,0.5997709880856322,123,9-9,0.4884875951321972,0.5293360589752577,0.46352005279590813,0.5,-9.730209678545187,198,136.5,2017
Towson,0,0,9,3,91,NA,CAA,19-13,19,13,104.05856823550587,160,100.526635623284,104,0.5979927465952876,124,11-7,0.490368152696294,0.4870231264767655,0.48507666708283154,0.6111111111111112,-6.670647768778719,140,132,2017
Troy,1,1,8,6,171,NA,SB,19-14,19,14,109.88313728535437,61,107.25307300885075,242,0.5692032879775494,137,10-8,0.44322737242200916,0.37665816702131943,0.48254780590235513,0.5555555555555556,-8.352624206311452,175,151.5,2017
Tulane,0,0,2,10,294,NA,Amer,6-25,6,25,102.98604022229894,180,106.36368801854881,224,0.4082718373189453,202,3-15,0.5949831107925435,0.4903817235337867,0.6673087365908642,0.16666666666666666,-15.594334280811134,303,202,2017
Tulsa,0,0,3,7,131,NA,Amer,15-17,15,17,103.86199306505128,162,102.12493958456906,142,0.548338493527851,142,8-10,0.6268939409971355,0.5709814428579936,0.6593023888037103,0.4444444444444444,-6.274464225564869,132,152,2017
UC-Davis,1,1,8,2,178,NA,BW,20-12,20,12,97.36270489049531,283,100.73403254256542,107,0.4033645794504966,205,11-5,0.38254800553237667,0.4589425784774497,0.31745528284936375,0.6875,-7.562444621483582,159,195,2017
UC-Irvine,0,0,8,1,123,NA,BW,19-14,19,14,101.58488709917306,213,97.4699010516641,61,0.6166937446152227,114,12-4,0.43794222534296057,0.6265166469515687,0.2914376918763978,0.75,-7.482812754134127,156,137,2017
UC-Riverside,0,0,3,8,330,NA,BW,6-21,6,21,93.08916688292337,331,104.17597291481178,185,0.2151727326918171,297,5-11,0.4181580481178686,0.5223047207165226,0.3406578967122932,0.3125,-16.39752408674585,313,258,2017
UC-Santa Barbara,0,0,3,9,324,NA,BW,5-22,5,22,91.80043575799594,338,106.84220761256965,234,0.14868350199446645,325,4-12,0.46498586209486287,0.6336733570666138,0.3490132093017841,0.25,-16.23582867212682,310,286,2017
UCLA,1,0,10,3,15,NA,P12,29-4,29,4,121.25390947599264,8,98.85228517901538,80,0.9128540103239692,24,15-3,0.5981221523405963,0.46783671356030976,0.6647639622499218,0.8333333333333334,6.5419351540918775,10,44,2017
University of California,0,0,6,5,54,NA,P12,21-12,21,12,103.90168306401713,161,91.79977482547758,13,0.8059812068403797,58,10-8,0.6277908414337409,0.5180603653157873,0.6921764153854922,0.5555555555555556,-1.0480498998918,61,87,2017
Utah,0,0,7,4,82,NA,P12,18-11,18,11,113.28185699270082,38,98.66738983881055,76,0.8303953916958666,48,11-7,0.585021370042978,0.4166569460312532,0.6662816146716897,0.6111111111111112,-2.3481864223343365,80,57,2017
Utah State,0,0,5,8,181,NA,MWC,13-17,13,17,105.56978687397884,129,103.56351402590226,170,0.5549402847083279,139,7-11,0.5674528331226137,0.5110321892935297,0.5964265447830717,0.3888888888888889,-9.31373899884892,190,149.5,2017
Utah Valley,0,0,6,5,203,NA,WAC,12-16,12,16,98.72262686758938,261,100.57148502996185,106,0.44685700780126936,190,6-8,0.4486740431719789,0.5117890351693127,0.39330260575117054,0.42857142857142855,-9.994624965765578,203,183.5,2017
Valparaiso,0,0,9,1,72,NA,Horz,23-8,23,8,105.13827845544785,143,99.23385325420979,87,0.6603081711472657,100,14-4,0.4371731206048633,0.5400605067978689,0.37806994180271203,0.7777777777777778,-2.0468985326764817,74,115,2017
Vanderbilt,1,0,8,5,33,NA,SEC,19-15,19,15,113.04177326402937,42,94.0535852185946,31,0.8923301536045217,31,10-8,0.7479317346504399,0.6537132020866644,0.7970154193324902,0.5555555555555556,-0.004599847451783101,53,36.5,2017
Vermont,1,1,12,1,48,NA,AE,28-5,28,5,109.51084022886727,65,97.99456745020217,68,0.7820720277403558,68,16-0,0.406861997768146,0.541622562377583,0.30553678249068855,1,0.6404050588467204,46,66.5,2017
Villanova,1,1,10,1,1,NA,BE,31-3,31,3,122.74333710641804,2,91.60259362571747,12,0.9666027111254779,2,15-3,0.7246689127163451,0.6093157001966605,0.7950165530417979,0.8333333333333334,10.927307002710535,1,7,2017
Virginia,1,0,6,5,18,NA,ACC,22-10,22,10,113.8576493170518,36,86.07372937166129,1,0.9614714150465429,3,11-7,0.7528219186909506,0.577470432215124,0.8581845501059866,0.6111111111111112,4.859443370776238,22,18.5,2017
Virginia Commonwealth,1,0,10,2,22,NA,A10,26-7,26,7,108.14911757735875,85,94.90153260359796,38,0.8179795192829582,56,14-4,0.5914433768348616,0.5435655294723973,0.6189939971135359,0.7777777777777778,1.6598184220033485,37,61.5,2017
Virginia Tech,1,0,7,7,46,NA,ACC,22-10,22,10,118.00542366241686,16,101.37351941434878,121,0.8515822064820474,43,10-8,0.6875774798377907,0.41088046333817435,0.8473228320241774,0.5555555555555556,3.226778678319871,29,68.5,2017
VMI,0,0,2,10,329,NA,SC,4-24,4,24,97.32192278362042,284,112.07486244813612,313,0.16477199768241807,317,3-15,0.5172154866340873,0.49819126011304743,0.524868058779663,0.16666666666666666,-17.329727569042134,322,298.5,2017
Wagner,0,0,8,3,245,NA,NEC,15-14,15,14,99.42401783056317,250,107.6989044975312,251,0.28508514792530204,259,11-7,0.30676689620751285,0.46020944512671286,0.2360943388854388,0.6111111111111112,-10.776767597140374,215,250.5,2017
Wake Forest,1,0,7,10,41,NA,ACC,19-13,19,13,122.46254139004677,4,101.53052570860817,126,0.8961932938272396,29,9-9,0.7343868834240431,0.5931786856702366,0.829928751497722,0.5,1.1596479629371175,45,65,2017
Washington,0,0,0,11,210,NA,P12,9-22,9,22,105.82841510826103,120,105.65269130649506,212,0.5047776435336604,159,2-16,0.6391864394701737,0.48921562571598876,0.7314683871584226,0.1111111111111111,-11.001211543517776,222,166,2017
Washington State,0,0,4,9,162,NA,P12,12-18,12,18,104.19185278467381,159,104.71318867702183,195,0.4856544157393287,171,6-12,0.6387813562410489,0.4751244552346803,0.7335390780339999,0.3333333333333333,-7.977135862458998,166,177,2017
Weber State,0,0,7,3,180,NA,BSky,17-13,17,13,107.29534308041433,102,109.0095016643611,277,0.45455756242129747,188,12-6,0.3882923257240101,0.5216895815875874,0.32590142838621206,0.6666666666666666,-8.770834643744125,180,189.5,2017
West Virginia,1,0,9,2,23,NA,B12,26-8,26,8,115.380351285964,31,89.84579398560241,5,0.9466775773382561,9,12-6,0.6833818114284493,0.3939171383332346,0.8637109289430622,0.6666666666666666,6.299665428272689,12,18,2017
Western Carolina,0,0,3,8,270,NA,SC,7-23,7,23,89.69629477075492,347,103.64028611870543,173,0.1595323777175219,322,4-14,0.5459790438702395,0.6073704915415251,0.5254555963670585,0.2222222222222222,-15.318229196804817,299,260,2017
Western Illinois,0,0,2,8,325,NA,Sum,6-20,6,20,96.34616987497571,304,107.70784130088114,253,0.21721684347409168,295,5-11,0.4362814204277726,0.42005203389285906,0.4419900858231577,0.3125,-15.337262054930012,300,278.5,2017
Western Kentucky,0,0,6,7,226,NA,CUSA,15-17,15,17,102.8919043306051,181,108.25932755023531,262,0.3578331141029974,223,9-9,0.4359648744902712,0.4275719357523441,0.45072825001015715,0.5,-11.097100359147738,226,221.5,2017
Western Michigan,0,0,9,1,177,NA,MAC,15-16,15,16,105.64336623392472,128,105.59388497570313,210,0.5013469051984761,161,11-7,0.49813000795493995,0.5303318449740744,0.4978194783407672,0.6111111111111112,-9.332833065368952,191,169,2017
Wichita State,1,1,12,1,29,NA,MVC,29-4,29,4,117.9812181188612,17,92.70313527097537,20,0.9411945993672252,11,17-1,0.5351188077799166,0.527651849085829,0.5298251337723622,0.9444444444444444,3.9771966675223642,25,18.5,2017
William & Mary,0,0,7,4,113,NA,CAA,15-14,15,14,111.60721223169546,50,108.77969619517404,271,0.5732445257978845,135,10-8,0.5041285455601047,0.5024692809770497,0.4877624532532054,0.5555555555555556,-6.919367409838602,145,160.5,2017
Winthrop,1,1,10,1,70,NA,BSth,24-6,24,6,105.67012236081814,127,101.50601019127308,124,0.6135710500391756,116,15-3,0.3462659774716299,0.5378450889552622,0.26881415516251184,0.8333333333333334,-1.808699461510304,69,125.5,2017
Wisconsin,1,0,7,2,35,NA,B10,25-8,25,8,113.21628384160252,39,90.59276045312276,8,0.9284849050859332,20,12-6,0.6919627056444614,0.526002835205335,0.7938295065898376,0.6666666666666666,5.274040205536171,21,23.5,2017
Wofford,0,0,7,4,189,NA,SC,13-17,13,17,109.15502956854976,72,107.18574820406549,239,0.5521515038761952,140,10-8,0.5361807445741991,0.6188531901849978,0.4825005523816626,0.5555555555555556,-9.832775367423508,199,155.5,2017
Wright State,0,0,8,5,117,NA,Horz,18-12,18,12,105.05597854625587,144,105.56037108399101,209,0.48623312202680075,169,11-7,0.4466189935611669,0.520882449805455,0.3969643512088618,0.6111111111111112,-6.9137360719627186,144,176.5,2017
Wyoming,0,0,5,7,152,NA,MWC,16-14,16,14,102.84633682994311,184,101.35395139090626,120,0.5419255984132723,145,8-10,0.5284354002162696,0.47271060968706863,0.5704640740033763,0.4444444444444444,-7.585738908903911,161,152,2017
Xavier,1,0,5,7,34,NA,BE,21-13,21,13,115.05376456376044,33,98.04246767473481,69,0.8629470870556835,36,9-9,0.7410939363096337,0.6436198400457769,0.8068521543206625,0.5,1.482209910025738,41,51,2017
Yale,0,0,8,3,142,NA,Ivy,17-10,17,10,104.6151252420994,152,104.16068774481855,183,0.5125132986889462,157,9-5,0.4606179221399931,0.4850293095894354,0.42880081757429217,0.6428571428571429,-4.264286596361835,97,167.5,2017
Youngstown State,0,0,3,8,254,NA,Horz,11-21,11,21,100.91078538495333,221,112.90782476753543,322,0.21553949424304178,296,5-13,0.44000505772265897,0.45320142073623443,0.4265311069098642,0.2777777777777778,-15.44478535387668,302,271.5,2017
