School,Make Tournament,Conference Champ,Last 12 Wins,Conference Finish,RPI Rank,NET Rank,Conference,Record,Wins,Losses,Adj. Offensive Efficiency,OE Rank,Adj. Defensive Efficiency,DE Rank,Barthag,T-Rank,Conference Record,SOS,Non-Conf SOS,Conference SOS,Conference Win %,Wins Above Bubble,WAB Rank,Efficiency Avg,Season
East Tennessee State,1,1,10,1,55,NA,SC,25-7,25,7,107.15788342374321,108,96.694656279096293,53,0.765229843090765,71,14-4,0.49008308912776416,0.5187172277581467,0.4592226444576608,0.7777777777777778,-0.7976026410101777,59,80.5,2017
Eastern Illinois,0,0,5,5,265,NA,OVC,12-15,12,15,99.40069099498498,251,103.98509579009075,179,0.37319886129003355,215,6-10,0.3749321544731281,0.4168652679535846,0.3461031389553144,0.375,-11.518480081036593,233,215,2017
Eastern Kentucky,0,0,4,6,248,NA,OVC,10-19,10,19,97.51411607568062,277,106.36738067276943,225,0.26906514577928925,267,5-11,0.45036239933426314,0.5030908995027644,0.4075204929473557,0.3125,-13.421603182083746,269,251,2017
Eastern Michigan,0,0,3,4,172,NA,MAC,12-17,12,17,104.93045914074378,146,103.8470775349821,177,0.5298026113913339,151,7-11,0.5291743668093946,0.6062509129354534,0.4938502834366348,0.3888888888888889,-10.269200207829256,208,161.5,2017
Eastern Washington,0,0,9,2,146,NA,BSky,20-11,20,11,107.78666978308354,94,108.82958659791746,272,0.4723441923536682,176,13-5,0.38891467863120815,0.5496824911352499,0.29615527469337133,0.7222222222222222,-5.87334301958743,126,183,2017
Elon,0,0,8,4,158,NA,CAA,16-14,16,14,102.64458024988801,189,101.07609830345089,114,0.544155823556244,144,10-8,0.48462642354584773,0.4662789220625612,0.49091555766073536,0.5555555555555556,-7.842111067136809,165,151.5,2017
Evansville,0,0,5,8,187,NA,MVC,14-17,14,17,105.44248892348958,137,102.16234265307189,143,0.5898702751850283,127,6-12,0.5428104625629712,0.48202640297361493,0.5688254528334009,0.3333333333333333,-8.955188936487971,184,140,2017
Fairfield,0,0,8,5,184,NA,MAAC,16-14,16,14,97.38267466030267,280,102.0197779718813,138,0.3693604736489844,218,11-9,0.419236283260515,0.4353389262938736,0.40578833681971727,0.55,-9.17026092261481,189,209,2017
Fairleigh Dickinson,0,0,4,5,273,NA,NEC,10-19,10,19,100.79872639706801,222,110.63872163104494,299,0.25518240576751605,273,9-9,0.3858102017605567,0.6524615494067562,0.23938506573710416,0.5,-13.968279914949466,279,260.5,2017
Florida,1,0,10,2,10,NA,SEC,24-8,24,8,115.59865000146173,30,88.46054830795288,3,0.9559351423816043,5,14-4,0.7478330257755146,0.6729806226202968,0.7938654765082273,0.7777777777777778,6.226478244534393,13,16.5,2017
Florida A&M,0,0,3,11,349,NA,MEAC,5-23,5,23,92.57162528524188,332,116.7262955173095,342,0.06499354808380536,343,5-11,0.24955079323762797,0.4044794920024893,0.15239364767979538,0.3125,-20.252814083331053,345,337,2017
Florida Atlantic,0,0,5,11,283,NA,CUSA,8-20,8,20,97.2922643577053,285,107.16356927776496,238,0.24762413759974577,277,6-12,0.45221706808386664,0.484259953394305,0.4324039497682934,0.3333333333333333,-14.64055945706776,286,261.5,2017
Florida Gulf Coast,1,1,10,1,85,NA,ASun,23-7,23,7,107.696977307266,97,103.55544926023208,169,0.6108685352853714,118,12-2,0.39427865856395883,0.5506640595165899,0.2907678866045451,0.8571428571428571,-1.7870068586435708,68,133,2017
