School,Make Tournament,Conference Champ,Last 12 Wins,Conference Finish,RPI Rank,NET Rank,Conference,Record,Adj. Offensive Efficiency,OE Rank,Adj. Defensive Efficiency,DE Rank,Barthag,Barthag Rank,Conference Record,SOS,Non-Conf SOS,Conference SOS,Conference Win %,Wins Above Bubble,WAB Rank
College of Charleston,0,0,9,3,85,107,CAA,23-9,106.72675488499141,112,102.9747697138846,164,0.6014620039196654,135,12-6,0.43277019940648453,0.5170264596307256,0.3710399449007313,0.6666666666666666,-3.1168108168811193,89
Colorado,0,0,8,4,78,66,P12,21-12,105.94137465233737,127,95.9195045605754,46,0.7581988608856032,70,10-8,0.5642026202862682,0.4118654280745137,0.6570041138774213,0.5555555555555556,-3.619963563033884,99
Colorado State,0,0,5,7,232,189,MWC,11-20,106.7969637597214,107,107.79023438190555,263,0.47340960421206474,176,7-11,0.5192110773128927,0.47249716323982777,0.5433857342395657,0.3888888888888889,-13.017987714891516,260
Columbia,0,0,4,7,258,196,Ivy,8-18,102.13036551910011,196,105.77842988655462,229,0.40044528068465146,202,5-9,0.496386550809453,0.43611226726570823,0.5480502224183769,0.35714285714285715,-12.555660910004264,249
Connecticut,0,0,4,9,136,95,Amer,16-17,107.52343779756801,95,101.23178549029772,130,0.6667238793725748,107,6-12,0.5951673113516748,0.4320343359001573,0.6907752009042831,0.3333333333333333,-5.802699668200448,136
Coppin State,0,0,5,8,325,342,MEAC,8-25,87.42541381371552,349,109.3817309174941,286,0.07065537404142319,344,7-9,0.3593302811581646,0.6268844029519918,0.13503549175234467,0.4375,-18.177323099536203,336
Cornell,0,0,6,4,158,195,Ivy,13-15,98.7038571694425,260,103.22664680768801,168,0.3739672409746943,218,7-7,0.5054637014205496,0.459176555438784,0.5517508474023152,0.5,-8.547373634569988,176
Creighton,0,0,7,3,62,53,BE,17-14,112.54446364152636,32,97.969467016562,81,0.8313133333348628,47,9-9,0.7189405794408598,0.6360685166466981,0.7714069588916255,0.5,-2.3547455113837112,76
Dartmouth,0,0,1,8,265,217,Ivy,9-19,103.29721119757484,172,106.8059756694241,247,0.40512871325628197,200,2-12,0.4752107849060506,0.4030252472251126,0.5473963225869888,0.14285714285714285,-12.977493270697526,257
Davidson,0,0,9,2,45,75,A10,23-9,106.67896922582352,114,98.81109593619098,95,0.70704235127685,85,14-4,0.5497379283369745,0.5628201184625262,0.5371043935179018,0.7777777777777778,-0.9252574784832542,61
Dayton,0,0,9,3,76,69,A10,21-11,110.60354105758395,45,98.52662320332703,90,0.7907895237503075,56,13-5,0.5579489507612385,0.5635694251886035,0.5474752848925699,0.7222222222222222,-2.350143955307534,75
Delaware,0,0,4,5,204,238,CAA,15-16,103.3862432691551,170,111.71403561301489,319,0.29092205081788597,260,8-10,0.4040813560816901,0.3823167049809534,0.40477797920332637,0.4444444444444444,-11.095753110893558,222
Delaware State,0,0,2,12,351,351,MEAC,4-25,84.32329075130924,352,112.85264621972732,333,0.033849817856556455,352,2-14,0.28793036017063417,0.500984212748779,0.1583510142117718,0.125,-21.725647999269054,351
Denver,0,0,3,9,320,324,Sum,7-22,98.49578751693554,264,111.61519762565726,318,0.19185532078042578,310,3-13,0.442905201651146,0.4848533076860694,0.4088223654977709,0.1875,-16.0968567143679,314
DePaul,0,0,4,8,166,102,BE,15-15,111.04194748273068,42,103.64132122615862,174,0.6885131317973433,95,7-11,0.6327667106559453,0.3647642579798063,0.7872010474138454,0.3888888888888889,-5.225154928925861,123
